Vehicle Description,Listing Price,Dealer Name
New 2024 Ford Bronco Sport Outer Banks,"$35,797",Alexander Ford
New 2024 Ford Transit-350 Base,"$56,618",Brannen Ford
New 2024 Ford Transit-350 Base,"$53,870",Brannen Ford
New 2024 Ford Transit-350 Base,"$53,870",Brannen Ford
New 2025 Ford F-150 XLT,"$61,054","Cook County Ford, Inc."
New 2025 Ford F-150 XLT,"$62,041","Cook County Ford, Inc."
New 2025 Ford Expedition Max Platinum,"$83,835",Langdale Ford
New 2024 Ford Maverick XLT,"$33,128",Hilbish Ford
New 2024 Ford Maverick XLT,"$34,909",Bolivar Ford
New 2025 Ford Maverick XL,"$27,419",Bolivar Ford
New 2025 Ford Maverick Lariat,"$36,586",Bolivar Ford
New 2025 Ford Maverick XLT,"$30,028",Bolivar Ford
New 2025 Ford Transit-350 XL,"$67,602",Golden Circle Ford
New 2025 Ford Escape Active,"$27,834",Golden Circle Ford
New 2025 Ford Transit-250 Base,"$49,637",Golden Circle Ford
New 2025 Ford Transit-350 XL,"$62,015",Woolwine Ford
New 2025 Ford Bronco Sport Big Bend,"$30,352",Nelson Ford
New 2024 Ford Bronco Sport Outer Banks,"$36,115",Cavenaugh Ford
New 2024 Ford Bronco Sport Outer Banks,"$36,390",Cavenaugh Ford
New 2025 Ford Escape Active,"$29,962",Mid-State Ford
New 2024 Ford Bronco Outer Banks,"$48,642",Jarrett Gordon Ford of Davenport
New 2024 Ford Escape ST-Line,"$25,800",Laura Ford of Sullivan
New 2024 Ford Escape ST-Line,"$25,895",Laura Ford of Sullivan
New 2025 Ford Transit-150 Base,"$47,115",Mullinax Ford of Vero Beach
New 2024 Ford Transit-150 Base,"$88,420",Mendoza Ford
New 2024 Ford F-250 XL,"$47,754",Guess Motors/ Guess Ford Inc.
New 2025 Ford Escape ST-Line,"$32,262",Briarwood Ford
New 2024 Ford Maverick XLT,"$34,550",Dorrance Ford
New 2025 Ford Transit-350 Base,"$61,010",Bob Ferrando Ford
New 2025 Ford Transit-250 Base,"$51,684",Henson Ford
New 2025 Ford Transit-350 Base,"$58,561",North Central Ford
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$52,110",Rockdale Country Ford
New 2025 Ford F-350 XL,"$71,475",Tradition Ford
New 2025 Ford F-350 XL,"$62,535",Tradition Ford
New 2025 Ford Transit-250 148 WB Medium Roof Cargo,"$51,320","Johnson Brothers Ford, Ltd."
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$60,695",Mac Haik Ford Lincoln
New 2024 Ford Transit-250 Base,"$49,740",Mac Haik Ford Lincoln
New 2025 Ford Transit-250 Base,"$54,675",AutoNation Ford Corpus Christi
New 2024 Ford Transit-250 Base,"$55,240",AutoNation Ford Corpus Christi
New 2025 Ford Transit-250 Base,"$54,675",AutoNation Ford Corpus Christi
New 2024 Ford Transit-250 Base,"$53,235",AutoNation Ford Corpus Christi
New 2024 Ford Transit-250 Base,"$55,695",AutoNation Ford Corpus Christi
New 2025 Ford Transit-250 Base,"$56,075",Lawrence Hall Ford
New 2024 Ford Transit-250 Base,"$56,140",Lawrence Hall Ford
New 2024 Ford Transit-250 Base,"$54,295",Lawrence Hall Ford
New 2025 Ford Transit-150 BASE,"$50,432",Ashland Ford Chrysler
New 2025 Ford Ranger XL,"$39,580",Gene Messer Ford of Amarillo
New 2025 Ford Bronco Sport Big Bend,"$31,253",Montrose Ford Nissan
New 2025 Ford F-150 Lightning XLT,"$65,350",Aaron Ford of Poway
New 2023 Ford F-150 Lightning Platinum,"$83,727",Aaron Ford of Escondido
New 2024 Ford F-150 Lightning Pro,"$59,090",Aaron Ford of Escondido
New 2024 Ford F-150 Lightning LARIAT,"$69,090",Aaron Ford of Escondido
New 2025 Ford Escape ST-Line,"$32,807",Kearny Mesa Ford
New 2024 Ford Escape ST-Line,"$30,704",Kearny Mesa Ford
New 2025 Ford Transit-350 Base,"$64,495",Mike White Ford
New 2024 Ford Transit-350 Base,"$76,620",Mike White Ford
New 2024 Ford Transit-350 XL,"$64,655",Mike White Ford
New 2024 Ford Transit-350 Base,"$64,240",Mike White Ford
New 2025 Ford Transit-350 Base,"$67,725",Mike White Ford
New 2025 Ford Transit-350 Base,"$64,495",Mike White Ford
New 2025 Ford Transit-350 Base,"$62,370",Mike White Ford
New 2025 Ford Transit-350 Base,"$66,320",Mike White Ford
New 2025 Ford Transit-350 Base,"$64,495",Mike White Ford
New 2025 Ford Transit-350 Base,"$62,370",Mike White Ford
New 2024 Ford Transit-350 XL,"$71,285",Mike White Ford
New 2024 Ford Transit-150 Base,"$51,946",Corwin Ford of Tri-Cities
New 2024 Ford Transit-150 Base,"$52,446",Corwin Ford of Tri-Cities
New 2024 Ford Transit-150 Base,"$48,999",Corwin Ford of Tri-Cities
New 2025 Ford Bronco Sport Big Bend,"$35,080",Watsonville Ford
New 2025 Ford Bronco Sport Outer Banks,"$36,274",Watsonville Ford
New 2025 Ford Escape ST-Line Select,"$37,675",Marin County Ford
New 2025 Ford Bronco Sport Big Bend,"$37,183",Kendall Ford of Eugene
New 2024 Ford Bronco Sport Badlands,"$38,760",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$54,551",Kendall Ford of Eugene
New 2025 Ford Explorer Platinum,"$55,957",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$53,658",Kendall Ford of Eugene
New 2024 Ford Bronco Sport Badlands,"$38,595",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$37,209",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$39,914",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$40,439",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$37,218",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$46,404",Kendall Ford of Eugene
New 2024 Ford Bronco Sport Badlands,"$38,110",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Heritage,"$34,721",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$46,937",Kendall Ford of Eugene
New 2025 Ford Explorer ST-Line,"$45,516",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Big Bend,"$33,237",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Badlands,"$40,062",Kendall Ford of Eugene
New 2025 Ford Explorer ST-Line,"$44,983",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$58,764",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Outer Banks,"$34,992",Kendall Ford of Eugene
New 2024 Ford Ranger XLT,"$44,353",Kendall Ford of Eugene
New 2024 Ford Bronco Sport Badlands,"$42,120",Alexander Ford
New 2025 Ford Escape Active,"$30,485",Moss Motor Company
New 2025 Ford Escape Active,"$31,240",Moss Motor Company
New 2024 Ford F-150 XLT,"$45,663","Cook County Ford, Inc."
New 2024 Ford F-150 XLT,"$57,256","Cook County Ford, Inc."
New 2024 Ford Transit-250,"$55,920",Gallatin Ford
New 2024 Ford Transit-250 Base,"$51,950",Metro Ford Auto Sales Inc
New 2024 Ford Edge SEL,"$35,913",AutoNation Ford Memphis
New 2024 Ford Edge SEL,"$36,921",AutoNation Ford Memphis
New 2025 Ford Bronco Sport Outer Banks,"$39,480",Tidelands Ford
New 2024 Ford F-350 XL,"$42,086",County Ford
New 2024 Ford Edge SE,"$35,960",Red River Toyota
New 2025 Ford Bronco Sport Big Bend,"$31,634","Glen Sain Ford, Inc"
New 2025 Ford Explorer Active,"$44,970",Cavenaugh Ford
New 2025 Ford Explorer Active,"$44,810",Cavenaugh Ford
New 2024 Ford Bronco Sport Badlands,"$37,954",Cavenaugh Ford
New 2025 Ford Escape ST-Line,"$31,158",Mid-State Ford
New 2025 Ford Escape Active,"$28,999",Mid-State Ford
New 2025 Ford Transit-150 Base,"$47,115",Mullinax Ford of Vero Beach
New 2025 Ford Transit-150 Base,"$47,115",Mullinax Ford of Vero Beach
New 2025 Ford Transit-150 Base,"$46,474",Hub City Ford
New 2024 Ford Transit-350 Base,"$66,645",Shetler-Corley Motors
New 2024 Ford Transit-350 XL,"$61,678",Loudon Motors Ford
New 2025 Ford Transit-350 Base,"$62,580",Fairway Ford
New 2024 Ford Transit-150 Base,"$46,533",Mullinax Ford of West Palm Beach
New 2025 Ford Transit-150 Base,"$45,910",Mullinax Ford of West Palm Beach
New 2025 Ford Transit-150 Base,"$47,458",Mullinax Ford of West Palm Beach
New 2025 Ford Transit-150 Base,"$47,049",Mullinax Ford of West Palm Beach
New 2025 Ford Transit-150,"$48,188",Al Packer Ford Royal Palm Beach
New 2025 Ford Transit-150,"$51,855",Al Packer Ford Royal Palm Beach
New 2025 Ford Transit-150 BASE,"$50,335",Grieco Ford of Delray Beach
New 2025 Ford Escape ST-Line,"$33,925",Briarwood Ford
New 2024 Ford Maverick Lariat,"$38,287",Dorrance Ford
New 2025 Ford Maverick Tremor,"$41,431",Dorrance Ford
New 2024 Ford Transit-350 XL,"$57,465",Bob Ferrando Ford
New 2025 Ford Bronco Sport Badlands,"$43,815",Bob Ferrando Ford
New 2025 Ford Bronco Sport Outer Banks,"$40,270",Bob Ferrando Ford
New 2025 Ford Transit-350 XLT,"$66,675",Riverside Ford of Tulsa
New 2025 Ford Transit-250 Base,"$58,190",Rockwall Ford
New 2025 Ford Transit-250 Base,"$54,030",Rockwall Ford
New 2024 Ford Transit-150 BASE,"$57,310",Seth Wadley Ford of Ada
New 2025 Ford Transit-350 Base,"$58,561",North Central Ford
New 2025 Ford Transit-350 Base,"$58,561",North Central Ford
New 2025 Ford Transit-250 Base,"$58,541",North Central Ford
New 2025 Ford Transit-250 Base,"$54,905",Sam Pack's Five Star Ford Carrollton
New 2025 Ford Transit-250 Base,"$54,905",Sam Pack's Five Star Ford Carrollton
New 2025 Ford Transit-350 XLT,"$60,283","Union Auto, Inc."
New 2025 Ford Transit-350 148 WB Medium Roof Cargo,"$58,990",Karl Ford of Story City
New 2025 Ford Transit-250 148 WB Medium Roof Cargo,"$54,005",Mac Haik Ford Lincoln
New 2024 Ford Bronco Badlands,"$62,635",Mac Haik Hyundai
New 2024 Ford Bronco Outer Banks,"$49,955",Mac Haik Hyundai
New 2025 Ford Bronco Sport Heritage,"$36,395",Don's Ford
New 2025 Ford Bronco Sport Big Bend,"$31,353",Don's Ford
New 2025 Ford Bronco Sport Big Bend,"$33,582",Don's Ford
New 2025 Ford Bronco Sport Big Bend,"$31,353",Don's Ford
New 2025 Ford Bronco Sport Heritage,"$34,416",Don's Ford
New 2024 Ford Bronco Sport Free Wheeling,"$31,588",Don's Ford
New 2024 Ford Bronco Sport Big Bend,"$29,764",Don's Ford
New 2024 Ford Transit-250 Base,"$51,218",Access Ford of Corpus Christi
New 2024 Ford Transit-250 Base,"$53,955",Lawrence Hall Ford
New 2025 Ford Transit-250 Base,"$55,260",Lawrence Hall Ford
New 2024 Ford Transit-250 Base,"$54,905",Lawrence Hall Ford
New 2024 Ford Escape ST-Line,"$28,966",Lawrence Hall Ford
New 2024 Ford Maverick XLT,"$35,285",Ira Ford Saco
New 2024 Ford Maverick XLT,"$33,380",Groton Ford
New 2025 Ford Bronco Sport Heritage,"$37,970",Hellman Ford
New 2023 Ford F-150 Lightning,"$83,727",Aaron Ford of Poway
New 2024 Ford F-150 Lightning Pro,"$66,935",Kearny Mesa Ford
New 2024 Ford F-150 Lightning Pro,"$66,571",Kearny Mesa Ford
New 2024 Ford F-150 Lightning Pro,"$68,318",Kearny Mesa Ford
New 2024 Ford F-150 Lightning Pro,"$68,318",Kearny Mesa Ford
New 2024 Ford Escape Active,"$31,323",Kearny Mesa Ford
New 2025 Ford Transit-350 Base,"$66,305",Mike White Ford
New 2024 Ford Transit-350 XL,"$69,175",Mike White Ford
New 2025 Ford Transit-350 Base,"$59,670",Mike White Ford
New 2025 Ford Transit-350 XL,"$68,280",Mike White Ford
New 2025 Ford Escape Active,"$32,685",Marin County Ford
New 2025 Ford Escape SE,"$36,895",Marin County Ford
New 2025 Ford Escape SE,"$42,515",Marin County Ford
New 2024 Ford Ranger XLT,"$40,748",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$40,439",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$46,224",Kendall Ford of Eugene
New 2025 Ford Explorer ST-Line,"$49,330",Kendall Ford of Eugene
New 2024 Ford Ranger XL,"$36,302",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$54,371",Kendall Ford of Eugene
New 2024 Ford Ranger XLT,"$39,429",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Big Bend,"$33,410",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Big Bend,"$35,385",Kendall Ford of Eugene
New 2025 Ford Explorer ST-Line,"$49,150",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Heritage,"$35,030",Kendall Ford of Eugene
New 2025 Ford Explorer ST,"$56,346",Kendall Ford of Eugene
New 2025 Ford Explorer Active,"$47,081",Kendall Ford of Eugene
New 2024 Ford Ranger XLT,"$38,691",Kendall Ford of Eugene
New 2024 Ford Ranger XLT,"$38,691",Kendall Ford of Eugene
New 2025 Ford Bronco Sport Badlands,"$41,129",Kendall Ford of Eugene
New 2024 Ford F-250 XLT,"$71,224",Harper Motors
New 2024 Ford F-450 XL,"$72,205",Cutter Ford
New 2024 Ford Transit-250 Base,"$49,855",Lithia Springs Ford
New 2025 Ford Bronco Sport Big Bend,"$31,913",Alexander Ford
New 2024 Ford Bronco Sport Outer Banks,"$35,624",Alexander Ford
New 2024 Ford F-150 XLT,"$58,681","Cook County Ford, Inc."
New 2024 Ford F-350 XL,"$42,828",County Ford
New 2025 Ford Bronco Sport Big Bend,"$35,180",Nelson Ford
New 2025 Ford Bronco Sport Big Bend,"$31,634","Glen Sain Ford, Inc"
New 2025 Ford Bronco Sport Big Bend,"$31,694","Glen Sain Ford, Inc"
New 2024 Ford Bronco Sport Outer Banks,"$35,659",Cavenaugh Ford
New 2025 Ford Escape ST-Line Select,"$32,883",Mid-State Ford
New 2025 Ford Escape ST-Line,"$31,781",Mid-State Ford
New 2025 Ford Escape Active,"$29,999",Mid-State Ford
New 2024 Ford Transit-350 Base,"$54,705",Ford of Port Richey
New 2024 Ford Transit-350 XL,"$62,400",Ford of Port Richey
New 2025 Ford Transit-150 Base,"$52,030",Elder Ford of Tampa
New 2024 Ford Bronco Badlands,"$64,500",Hebert's Town & Country Ford
New 2024 Ford Transit-350 Base,"$55,561",Loudon Motors Ford
New 2024 Ford Transit-350 Base,"$53,003",Kenny Ross Ford South
New 2024 Ford Transit-350 Base,"$52,637",Kenny Ross Ford South
New 2024 Ford Transit-350 Base,"$54,774",Fairway Ford
New 2024 Ford Bronco Sport Outer Banks,"$35,687",Harold Ford Inc.
New 2024 Ford Transit-350 XL,"$57,816",#1 Cochran Ford
New 2024 Ford Transit-350 148 WB Medium Roof Cargo,"$53,078",#1 Cochran Ford
New 2024 Ford Transit-350 Base,"$49,999",#1 Cochran Ford
New 2025 Ford Mustang Mach-E Select,"$39,090",Bolton Ford
New 2024 Ford Maverick XLT,"$33,515",Dorrance Ford
New 2025 Ford Bronco Sport Free Wheeling,"$35,925",Zink Motor Company
New 2024 Ford Transit-350 148 WB Medium Roof Cargo,"$52,921",Bob Ferrando Ford
New 2025 Ford Bronco Sport Outer Banks,"$39,665",Bob Ferrando Ford
New 2025 Ford Transit-350 Base,"$64,880",Bob Allen Ford
New 2024 Ford Transit-150 Base,"$50,979",Gordie Boucher Ford Lincoln of West Bend
New 2024 Ford Transit-150 Base,"$50,979",Gordie Boucher Ford Lincoln of West Bend
New 2024 Ford Transit-150 Base,"$50,979",Gordie Boucher Ford Lincoln of West Bend
New 2025 Ford Transit-350 Base,"$58,561",North Central Ford
New 2024 Ford Transit-250 Base,"$49,185",Sam Pack's Five Star Ford Carrollton
New 2025 Ford Transit-350 Base,"$51,858",Clay Cooley Ford
New 2024 Ford Transit-150 Base,"$99,995",Orleans Ford
New 2024 Ford Transit-150 BASE,"$56,940",Fox Ford Grand Traverse
New 2024 Ford Bronco Wildtrak,"$60,769",Morrie's Tomah CDJR
New 2024 Ford Bronco Outer Banks,"$53,649",Morrie's Tomah CDJR
New 2025 Ford Transit-250 148 WB Medium Roof Cargo,"$54,005",Mac Haik Ford Lincoln
New 2025 Ford Transit-250 Base,"$52,255",Mac Haik Ford Lincoln
New 2024 Ford Transit-250 148 WB Medium Roof Cargo,"$60,695",Mac Haik Ford Lincoln
New 2025 Ford Transit-250 148 WB Medium Roof Cargo,"$54,005",Mac Haik Ford Lincoln
New 2024 Ford Bronco Sport Big Bend,"$29,778",Don's Ford
New 2024 Ford Bronco Sport Outer Banks,"$35,281",Don's Ford
New 2024 Ford Bronco Sport Heritage,"$33,993",Don's Ford
